#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -1.80 -1.75 0.0061 0.0091 0.0656 1.0032 0.0379 0.0151 0.0271 0.4713 0.3684 0.0300 0.5206 0.3824 1.5289 0.2324 0.7969 0.0031 0.0000
8.4 -1.80 -1.50 0.0081 0.0160 0.0557 1.2917 0.0423 0.0263 0.0690 0.4771 0.3222 0.0768 0.8054 0.3390 1.5507 0.2199 0.7900 0.0031 0.0000
8.4 -1.80 -1.25 0.0115 0.0272 0.0461 1.4895 0.0524 0.0442 0.1670 0.4760 0.2754 0.1862 1.2427 0.2976 1.5350 0.1984 0.7684 0.0037 0.0014
8.4 -1.80 -1.00 0.0166 0.0439 0.0378 1.5062 0.0677 0.0704 0.3645 0.4678 0.2352 0.4094 1.8369 0.2665 1.4704 0.1695 0.7290 0.0049 0.0019
8.4 -1.60 -4.00 0.0509 0.0000 0.0708 0.0011 0.3011 0.0000 0.0000 0.1799 0.1369 0.0000 0.0000 0.1545 0.0280 0.0052 0.0164 0.0315 0.0054
8.4 -1.60 -3.75 0.0389 0.0000 0.0782 0.0036 0.2480 0.0000 0.0000 0.2300 0.1954 0.0000 0.0000 0.2143 0.0807 0.0149 0.0467 0.0299 0.0049
8.4 -1.60 -3.50 0.0292 0.0000 0.0846 0.0119 0.1998 0.0000 0.0000 0.2836 0.2663 0.0000 0.0055 0.2870 0.2136 0.0390 0.1229 0.0271 0.0044
8.4 -1.60 -3.25 0.0223 0.0000 0.0892 0.0356 0.1601 0.0000 0.0000 0.3348 0.3390 0.0000 0.0273 0.3627 0.4654 0.0834 0.2670 0.0224 0.0037
8.4 -1.60 -3.00 0.0185 0.0000 0.0913 0.0920 0.1311 0.0000 0.0000 0.3817 0.4012 0.0000 0.0888 0.4303 0.7771 0.1367 0.4442 0.0169 0.0029
8.4 -1.60 -2.75 0.0172 0.0015 0.0900 0.2050 0.1109 0.0026 0.0031 0.4209 0.4430 0.0034 0.2003 0.4785 1.0525 0.1820 0.5976 0.0124 0.0024
8.4 -1.60 -2.50 0.0175 0.0038 0.0850 0.3926 0.0998 0.0063 0.0103 0.4503 0.4584 0.0114 0.3626 0.4999 1.2519 0.2120 0.7027 0.0095 0.0023
8.4 -1.60 -2.25 0.0186 0.0082 0.0771 0.6491 0.0942 0.0136 0.0301 0.4694 0.4467 0.0334 0.5893 0.4916 1.3784 0.2271 0.7610 0.0082 0.0024
8.4 -1.60 -2.00 0.0210 0.0158 0.0676 0.9344 0.0959 0.0261 0.0793 0.4802 0.4142 0.0881 0.9136 0.4627 1.4431 0.2286 0.7812 0.0081 0.0027
8.4 -1.60 -1.75 0.0249 0.0280 0.0574 1.1724 0.1044 0.0456 0.1900 0.4841 0.3692 0.2118 1.3834 0.4235 1.4519 0.2171 0.7714 0.0089 0.0033
8.4 -1.60 -1.50 0.0309 0.0458 0.0479 1.2545 0.1187 0.0736 0.4072 0.4820 0.3218 0.4571 2.0161 0.3861 1.3993 0.1932 0.7336 0.0105 0.0039
8.4 -1.60 -1.25 0.0416 0.0678 0.0403 1.0982 0.1518 0.1072 0.7502 0.4802 0.2875 0.8510 2.7347 0.3710 1.2634 0.1585 0.6602 0.0133 0.0049
8.4 -1.60 -1.00 0.0597 0.0857 0.0357 0.7714 0.2168 0.1333 1.1298 0.4883 0.2823 1.2994 3.2443 0.3995 1.0298 0.1186 0.5439 0.0175 0.0063
8.4 -1.40 -4.00 0.0639 0.0000 0.0807 0.0026 0.3170 0.0000 0.0000 0.3287 0.1896 0.0000 0.0000 0.2362 0.0397 0.0065 0.0236 0.0362 0.0069
8.4 -1.40 -3.75 0.0539 0.0000 0.0873 0.0083 0.2605 0.0000 0.0000 0.3834 0.2630 0.0000 0.0026 0.3194 0.1157 0.0187 0.0676 0.0343 0.0065
8.4 -1.40 -3.50 0.0478 0.0000 0.0928 0.0262 0.2238 0.0000 0.0000 0.4344 0.3512 0.0000 0.0177 0.4223 0.2990 0.0483 0.1738 0.0311 0.0060
8.4 -1.40 -3.25 0.0456 0.0000 0.0963 0.0759 0.2063 0.0000 0.0000 0.4762 0.4406 0.0011 0.0843 0.5309 0.5994 0.0982 0.3472 0.0264 0.0056
8.4 -1.40 -3.00 0.0457 0.0017 0.0965 0.1899 0.1995 0.0028 0.0051 0.5062 0.5104 0.0056 0.2592 0.6180 0.9005 0.1505 0.5201 0.0220 0.0054
