#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -1.60 -3.25 0.0206 0.0000 0.0887 0.0360 0.1517 0.0000 0.0000 0.3300 0.3353 0.0000 0.0273 0.3559 0.4710 0.0840 0.2698 0.0221 0.0036
8.4 -1.60 -3.00 0.0158 0.0000 0.0905 0.0941 0.1180 0.0000 0.0000 0.3745 0.3943 0.0000 0.0874 0.4178 0.7896 0.1383 0.4501 0.0163 0.0027
8.4 -1.60 -2.75 0.0132 0.0016 0.0883 0.2127 0.0925 0.0027 0.0029 0.4111 0.4300 0.0032 0.1896 0.4571 1.0706 0.1840 0.6046 0.0115 0.0021
8.4 -1.60 -2.50 0.0118 0.0039 0.0813 0.4169 0.0735 0.0065 0.0092 0.4360 0.4335 0.0101 0.3210 0.4626 1.2714 0.2132 0.7054 0.0082 0.0018
8.4 -1.60 -2.25 0.0116 0.0082 0.0703 0.7039 0.0634 0.0137 0.0238 0.4500 0.4040 0.0263 0.4690 0.4338 1.3895 0.2251 0.7484 0.0067 0.0019
8.4 -1.60 -2.00 0.0119 0.0147 0.0569 1.0224 0.0583 0.0245 0.0531 0.4555 0.3476 0.0589 0.6253 0.3757 1.4408 0.2215 0.7424 0.0064 0.0023
8.4 -1.60 -1.75 0.0113 0.0231 0.0431 1.2988 0.0509 0.0381 0.1031 0.4553 0.2773 0.1146 0.7846 0.3003 1.4442 0.2055 0.7010 0.0067 0.0027
8.4 -1.60 -1.50 0.0103 0.0317 0.0308 1.4926 0.0429 0.0520 0.1727 0.4515 0.2068 0.1931 0.9225 0.2241 1.4059 0.1798 0.6344 0.0069 0.0029
8.4 -1.60 -1.25 0.0087 0.0379 0.0211 1.6248 0.0344 0.0618 0.2470 0.4451 0.1452 0.2783 1.0030 0.1569 1.3320 0.1497 0.5535 0.0068 0.0028
8.4 -1.60 -1.00 0.0070 0.0389 0.0140 1.7340 0.0281 0.0628 0.3003 0.4365 0.0971 0.3408 0.9834 0.1048 1.2266 0.1211 0.4668 0.0066 0.0027
8.4 -1.40 -4.00 0.0633 0.0000 0.0801 0.0026 0.3128 0.0000 0.0000 0.3254 0.1862 0.0000 0.0000 0.2306 0.0397 0.0065 0.0235 0.0360 0.0068
