#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 99.9% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.4 -1.80 -2.50 0.0014 0.0020 0.0761 0.3773 0.0253 0.0033 0.0073 0.3709 0.3963 0.0080 0.9483 0.4004 1.2183 0.2174 0.6971 0.0018 0.0000
8.4 -1.80 -2.25 0.0000 0.0038 0.0664 0.6682 0.0232 0.0064 0.0069 0.4146 0.3781 0.0076 0.4129 0.3829 1.4503 0.2354 0.7983 0.0000 0.0000
8.4 -1.80 -2.00 0.0000 0.0060 0.0581 0.9445 0.0154 0.0102 0.0105 0.4330 0.3366 0.0116 0.3450 0.3405 1.4978 0.2316 0.7844 0.0000 0.0000
8.4 -1.80 -1.75 0.0000 0.0092 0.0472 1.2826 0.0094 0.0157 0.0196 0.4455 0.2798 0.0217 0.3756 0.2824 1.5131 0.2207 0.7425 0.0000 0.0000
8.4 -1.80 -1.50 0.0000 0.0129 0.0361 1.6142 0.0057 0.0218 0.0361 0.4548 0.2188 0.0399 0.4225 0.2201 1.4984 0.2037 0.6796 0.0000 0.0000
8.4 -1.80 -1.25 0.0000 0.0164 0.0260 1.9042 0.0035 0.0274 0.0625 0.4610 0.1595 0.0695 0.4766 0.1600 1.4470 0.1826 0.6014 0.0000 0.0000
8.4 -1.80 -1.00 0.0000 0.0187 0.0176 2.1250 0.0021 0.0310 0.0984 0.4648 0.1084 0.1097 0.5165 0.1084 1.3582 0.1615 0.5154 0.0000 0.0000
8.4 -1.60 -4.00 0.0254 0.0000 0.0572 0.0015 0.1791 0.0000 0.0000 0.1166 0.1292 0.0000 0.0000 0.1341 0.0411 0.0084 0.0238 0.0210 0.0030
8.4 -1.60 -3.75 0.0175 0.0000 0.0648 0.0054 0.1472 0.0000 0.0000 0.1711 0.1890 0.0000 0.0016 0.1943 0.1157 0.0236 0.0667 0.0199 0.0028
8.4 -1.60 -3.50 0.0114 0.0000 0.0709 0.0175 0.1107 0.0000 0.0000 0.2317 0.2555 0.0000 0.0117 0.2609 0.2913 0.0584 0.1677 0.0169 0.0024
8.4 -1.60 -3.25 0.0072 0.0000 0.0760 0.0520 0.0771 0.0000 0.0000 0.2919 0.3200 0.0000 0.0665 0.3255 0.5996 0.1150 0.3450 0.0120 0.0017
8.4 -1.60 -3.00 0.0043 0.0000 0.0794 0.1358 0.0499 0.0014 0.0022 0.3411 0.3717 0.0024 0.2741 0.3767 0.9450 0.1727 0.5439 0.0069 0.0000
8.4 -1.60 -2.75 0.0024 0.0024 0.0786 0.3036 0.0292 0.0041 0.0117 0.3640 0.3955 0.0129 0.8179 0.3992 1.1572 0.2081 0.6671 0.0034 0.0000
8.4 -1.60 -2.50 0.0012 0.0069 0.0717 0.5825 0.0153 0.0114 0.0529 0.3512 0.3860 0.0584 1.8843 0.3875 1.1775 0.2193 0.6807 0.0016 0.0000
8.4 -1.60 -2.25 0.0000 0.0133 0.0544 0.9945 0.0157 0.0222 0.0576 0.4062 0.3429 0.0636 1.0831 0.3460 1.4706 0.2398 0.8207 0.0000 0.0000
8.4 -1.60 -2.00 0.0000 0.0198 0.0447 1.2631 0.0107 0.0330 0.0812 0.4256 0.2860 0.0900 0.9378 0.2887 1.5221 0.2311 0.8069 0.0000 0.0000
8.4 -1.60 -1.75 0.0000 0.0291 0.0336 1.5152 0.0065 0.0481 0.1379 0.4347 0.2221 0.1534 1.0361 0.2238 1.5299 0.2127 0.7618 0.0000 0.0000
8.4 -1.60 -1.50 0.0000 0.0387 0.0238 1.6821 0.0038 0.0636 0.2171 0.4398 0.1625 0.2427 1.1478 0.1634 1.5009 0.1854 0.6921 0.0000 0.0000
8.4 -1.60 -1.25 0.0000 0.0452 0.0165 1.7959 0.0023 0.0737 0.2975 0.4432 0.1140 0.3351 1.1996 0.1143 1.4363 0.1543 0.6068 0.0000 0.0000
8.4 -1.60 -1.00 0.0000 0.0453 0.0114 1.9140 0.0013 0.0731 0.3499 0.4461 0.0776 0.3971 1.1418 0.0776 1.3402 0.1264 0.5159 0.0000 0.0000
8.4 -1.40 -4.00 0.0247 0.0000 0.0614 0.0036 0.1486 0.0000 0.0000 0.1821 0.1452 0.0000 0.0000 0.1508 0.0584 0.0104 0.0341 0.0221 0.0031
8.4 -1.40 -3.75 0.0169 0.0000 0.0689 0.0121 0.1108 0.0000 0.0000 0.2439 0.2099 0.0000 0.0051 0.2155 0.1622 0.0290 0.0942 0.0207 0.0029
8.4 -1.40 -3.50 0.0109 0.0000 0.0749 0.0384 0.0755 0.0000 0.0000 0.3025 0.2799 0.0000 0.0352 0.2854 0.3946 0.0704 0.2288 0.0171 0.0024
8.4 -1.40 -3.25 0.0067 0.0000 0.0787 0.1096 0.0474 0.0014 0.0022 0.3459 0.3406 0.0025 0.1881 0.3452 0.7488 0.1322 0.4345 0.0114 0.0016
8.4 -1.40 -3.00 0.0039 0.0026 0.0804 0.2751 0.0276 0.0043 0.0145 0.3701 0.3838 0.0161 0.7195 0.3865 1.0700 0.1890 0.6221 0.0061 0.0000
8.4 -1.40 -2.75 0.0020 0.0080 0.0743 0.5736 0.0141 0.0131 0.0767 0.3494 0.3852 0.0850 1.9452 0.3851 1.1588 0.2146 0.6758 0.0028 0.0000
8.4 -1.40 -2.50 0.0000 0.0229 0.0586 0.9765 0.0060 0.0372 0.3020 0.2763 0.3373 0.3356 3.8876 0.3346 1.0007 0.2073 0.5857 0.0012 0.0000
8.4 -1.40 -2.25 0.0000 0.0408 0.0363 1.4483 0.0071 0.0666 0.3724 0.3488 0.2612 0.4142 2.8080 0.2606 1.3930 0.2304 0.7932 0.0000 0.0000
8.4 -1.40 -2.00 0.0000 0.0577 0.0256 1.5292 0.0049 0.0933 0.5120 0.3678 0.1823 0.5720 2.6579 0.1821 1.4469 0.2092 0.7880 0.0000 0.0000
8.4 -1.40 -1.75 0.0000 0.0768 0.0165 1.4056 0.0028 0.1231 0.7125 0.3675 0.1172 0.8036 2.7647 0.1170 1.4157 0.1711 0.7293 0.0000 0.0000
