#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.4 30000 -2.50 0.8248 0.0000 0.1019 0.0204 0.0014 0.0037 0.0011 0.0000 0.0000 0.0000 0.0349
7.4 30000 -2.25 0.8117 0.0000 0.0734 0.0238 0.0016 0.0043 0.0012 0.0000 0.0000 0.0000 0.0340
7.4 30000 -2.00 0.7841 0.0022 0.0507 0.0259 0.0020 0.0051 0.0015 0.0000 0.0000 0.0011 0.0325
7.4 30000 -1.75 0.7490 0.0051 0.0340 0.0268 0.0024 0.0062 0.0018 0.0000 0.0000 0.0014 0.0303
7.4 30000 -1.50 0.7100 0.0116 0.0226 0.0266 0.0030 0.0079 0.0023 0.0000 0.0000 0.0019 0.0273
7.4 32500 -4.00 0.6554 0.0000 0.2519 0.0034 0.0034 0.0088 0.0025 0.0000 0.0000 0.0011 0.0357
7.4 32500 -3.75 0.7817 0.0000 0.2517 0.0058 0.0038 0.0098 0.0028 0.0000 0.0000 0.0015 0.0394
7.4 32500 -3.50 0.9275 0.0000 0.2460 0.0097 0.0040 0.0103 0.0029 0.0000 0.0000 0.0018 0.0434
7.4 32500 -3.25 1.0927 0.0000 0.2299 0.0155 0.0041 0.0107 0.0030 0.0000 0.0000 0.0021 0.0476
7.4 32500 -3.00 1.2627 0.0017 0.2010 0.0231 0.0043 0.0111 0.0031 0.0000 0.0000 0.0024 0.0515
7.4 32500 -2.75 1.4160 0.0042 0.1626 0.0316 0.0046 0.0118 0.0034 0.0000 0.0000 0.0029 0.0544
7.4 32500 -2.50 1.5243 0.0100 0.1222 0.0393 0.0050 0.0129 0.0037 0.0000 0.0000 0.0035 0.0555
7.4 32500 -2.25 1.5840 0.0229 0.0871 0.0454 0.0057 0.0146 0.0042 0.0000 0.0000 0.0042 0.0546
7.4 32500 -2.00 1.5960 0.0497 0.0603 0.0495 0.0066 0.0171 0.0049 0.0000 0.0000 0.0052 0.0516
7.4 32500 -1.75 1.5641 0.1010 0.0414 0.0520 0.0079 0.0204 0.0058 0.0000 0.0000 0.0066 0.0466
7.4 32500 -1.50 1.4844 0.1913 0.0284 0.0534 0.0094 0.0244 0.0069 0.0000 0.0000 0.0082 0.0397
7.4 35000 -4.00 0.8106 0.0000 0.2822 0.0067 0.0089 0.0228 0.0064 0.0000 0.0000 0.0034 0.0424
7.4 35000 -3.75 0.9683 0.0000 0.2719 0.0108 0.0100 0.0258 0.0073 0.0000 0.0000 0.0044 0.0466
7.4 35000 -3.50 1.1528 0.0029 0.2538 0.0171 0.0109 0.0279 0.0079 0.0000 0.0000 0.0055 0.0511
7.4 35000 -3.25 1.3631 0.0084 0.2248 0.0256 0.0113 0.0291 0.0082 0.0000 0.0000 0.0067 0.0552
7.4 35000 -3.00 1.5933 0.0237 0.1865 0.0359 0.0118 0.0303 0.0085 0.0000 0.0000 0.0081 0.0580
7.4 35000 -2.75 1.8166 0.0617 0.1451 0.0467 0.0124 0.0318 0.0089 0.0000 0.0000 0.0098 0.0583
7.4 35000 -2.50 1.9792 0.1457 0.1067 0.0568 0.0133 0.0341 0.0096 0.0000 0.0000 0.0118 0.0550
7.4 35000 -2.25 2.0228 0.3008 0.0756 0.0650 0.0145 0.0373 0.0105 0.0000 0.0000 0.0142 0.0486
7.4 35000 -2.00 1.9139 0.5446 0.0526 0.0713 0.0161 0.0414 0.0116 0.0000 0.0000 0.0169 0.0396
7.4 35000 -1.75 1.6716 0.8665 0.0364 0.0759 0.0178 0.0457 0.0128 0.0000 0.0000 0.0197 0.0296
7.4 35000 -1.50 1.3578 1.2329 0.0255 0.0792 0.0192 0.0495 0.0138 0.0000 0.0000 0.0223 0.0201
7.4 37500 -4.00 0.8726 0.0015 0.2802 0.0100 0.0150 0.0384 0.0109 0.0000 0.0000 0.0063 0.0447
7.4 37500 -3.75 1.0447 0.0047 0.2590 0.0158 0.0165 0.0423 0.0120 0.0000 0.0000 0.0082 0.0488
7.4 37500 -3.50 1.2398 0.0151 0.2286 0.0239 0.0178 0.0455 0.0128 0.0000 0.0000 0.0102 0.0522
7.4 37500 -3.25 1.4471 0.0461 0.1901 0.0339 0.0188 0.0480 0.0135 0.0000 0.0000 0.0126 0.0533
7.4 37500 -3.00 1.6265 0.1285 0.1485 0.0449 0.0195 0.0499 0.0140 0.0000 0.0000 0.0151 0.0501
7.4 37500 -2.75 1.7119 0.3063 0.1102 0.0556 0.0201 0.0514 0.0144 0.0000 0.0000 0.0177 0.0426
7.4 37500 -2.50 1.6411 0.6090 0.0784 0.0652 0.0205 0.0525 0.0147 0.0000 0.0000 0.0202 0.0331
7.4 37500 -2.25 1.4234 1.0065 0.0547 0.0730 0.0208 0.0533 0.0149 0.0000 0.0000 0.0224 0.0240
7.4 37500 -2.00 1.1355 1.4302 0.0380 0.0789 0.0209 0.0537 0.0150 0.0000 0.0000 0.0241 0.0167
7.4 37500 -1.75 0.8589 1.8226 0.0269 0.0830 0.0209 0.0538 0.0150 0.0000 0.0000 0.0255 0.0114
7.4 37500 -1.50 0.6352 2.1676 0.0197 0.0854 0.0208 0.0538 0.0150 0.0000 0.0000 0.0265 0.0079
7.4 40000 -4.00 0.9561 0.0063 0.2768 0.0154 0.0204 0.0524 0.0148 0.0000 0.0000 0.0101 0.0479
7.4 40000 -3.75 1.1380 0.0210 0.2411 0.0231 0.0210 0.0536 0.0151 0.0000 0.0000 0.0121 0.0509
7.4 40000 -3.50 1.3220 0.0668 0.1991 0.0328 0.0212 0.0543 0.0153 0.0000 0.0000 0.0143 0.0513
7.4 40000 -3.25 1.4518 0.1914 0.1554 0.0435 0.0213 0.0546 0.0154 0.0000 0.0000 0.0166 0.0467
7.4 40000 -3.00 1.4392 0.4602 0.1152 0.0543 0.0213 0.0546 0.0153 0.0000 0.0000 0.0189 0.0372
7.4 40000 -2.75 1.2578 0.8796 0.0828 0.0642 0.0213 0.0546 0.0153 0.0000 0.0000 0.0212 0.0269
7.4 40000 -2.50 0.9894 1.3721 0.0586 0.0726 0.0213 0.0545 0.0152 0.0000 0.0000 0.0233 0.0184
