#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 35000.0000 -3.5000 1.1528 0.0029 0.2538 0.0171 0.0109 0.0279 0.0079 0.0000 0.0000 0.0055
7.4000 35000.0000 -3.7500 0.9683 0.0000 0.2719 0.0108 0.0100 0.0258 0.0073 0.0000 0.0000 0.0044
7.4000 35000.0000 -4.0000 0.8106 0.0000 0.2822 0.0067 0.0089 0.0228 0.0064 0.0000 0.0000 0.0034
7.4000 37500.0000 -1.5000 0.6352 2.1676 0.0197 0.0854 0.0208 0.0538 0.0150 0.0000 0.0000 0.0265
7.4000 37500.0000 -1.7500 0.8589 1.8226 0.0269 0.0830 0.0209 0.0538 0.0150 0.0000 0.0000 0.0255
7.4000 37500.0000 -2.0000 1.1355 1.4302 0.0380 0.0789 0.0209 0.0537 0.0150 0.0000 0.0000 0.0241
7.4000 37500.0000 -2.2500 1.4234 1.0065 0.0547 0.0730 0.0208 0.0533 0.0149 0.0000 0.0000 0.0224
7.4000 37500.0000 -2.5000 1.6411 0.6090 0.0784 0.0652 0.0205 0.0525 0.0147 0.0000 0.0000 0.0202
7.4000 37500.0000 -2.7500 1.7119 0.3063 0.1102 0.0556 0.0201 0.0514 0.0144 0.0000 0.0000 0.0177
7.4000 37500.0000 -3.0000 1.6265 0.1285 0.1485 0.0449 0.0195 0.0499 0.0140 0.0000 0.0000 0.0151
7.4000 37500.0000 -3.2500 1.4471 0.0461 0.1901 0.0339 0.0188 0.0480 0.0135 0.0000 0.0000 0.0126
7.4000 37500.0000 -3.5000 1.2398 0.0151 0.2286 0.0239 0.0178 0.0455 0.0128 0.0000 0.0000 0.0102
