#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 60000 -2.56 0.4587 0.7045 0.0530 0.0327 0.0214 0.0549 0.0154 0.0057 0.0000 0.0141 0.0133 0.0072 0.2463
7.1 60000 -2.06 0.3476 0.9892 0.0397 0.0360 0.0211 0.0542 0.0151 0.0064 0.0000 0.0148 0.0097 0.0283 0.3847
7.1 60000 -1.52 0.2702 1.2299 0.0313 0.0370 0.0208 0.0535 0.0149 0.0078 0.0016 0.0149 0.0074 0.0861 0.5339
7.1 60000 -1.00 0.2152 1.4196 0.0257 0.0364 0.0204 0.0527 0.0146 0.0100 0.0026 0.0145 0.0059 0.1875 0.6607
7.1 60000 -0.63 0.1837 1.5388 0.0227 0.0353 0.0202 0.0520 0.0144 0.0123 0.0033 0.0140 0.0051 0.2816 0.7415
7.1 60000 -0.04 0.1438 1.7054 0.0191 0.0326 0.0196 0.0506 0.0140 0.0175 0.0047 0.0129 0.0040 0.4605 0.8564
7.1 60000 0.40 0.1206 1.8073 0.0170 0.0301 0.0190 0.0493 0.0136 0.0231 0.0057 0.0119 0.0034 0.6254 0.9273
7.1 70000 -3.96 0.5548 0.0189 0.1586 0.0105 0.0240 0.0613 0.0173 0.0074 0.0000 0.0088 0.0272 0.0000 0.0221
7.1 70000 -3.68 0.6331 0.0662 0.1310 0.0152 0.0230 0.0588 0.0166 0.0103 0.0000 0.0100 0.0272 0.0000 0.0438
7.1 70000 -3.36 0.6347 0.2115 0.1012 0.0212 0.0221 0.0566 0.0159 0.0131 0.0000 0.0114 0.0237 0.0000 0.0855
7.1 70000 -3.01 0.5263 0.4624 0.0753 0.0270 0.0214 0.0549 0.0154 0.0146 0.0000 0.0128 0.0178 0.0029 0.1523
7.1 70000 -2.56 0.3869 0.7669 0.0541 0.0318 0.0209 0.0535 0.0150 0.0157 0.0000 0.0138 0.0124 0.0156 0.2626
7.1 70000 -2.06 0.2928 1.0224 0.0411 0.0338 0.0204 0.0523 0.0146 0.0174 0.0013 0.0140 0.0091 0.0614 0.3984
7.1 70000 -1.52 0.2290 1.2240 0.0327 0.0336 0.0199 0.0512 0.0142 0.0206 0.0023 0.0136 0.0071 0.1754 0.5325
7.1 70000 -1.00 0.1840 1.3750 0.0271 0.0323 0.0194 0.0499 0.0139 0.0253 0.0033 0.0130 0.0057 0.3366 0.6333
7.1 70000 -0.63 0.1583 1.4636 0.0241 0.0308 0.0189 0.0487 0.0135 0.0300 0.0041 0.0123 0.0049 0.4631 0.6906
7.1 70000 -0.04 0.1256 1.5687 0.0203 0.0278 0.0180 0.0465 0.0129 0.0400 0.0053 0.0111 0.0040 0.6879 0.7596
7.1 70000 0.40 0.1066 1.6109 0.0179 0.0253 0.0172 0.0444 0.0123 0.0501 0.0062 0.0101 0.0034 0.8733 0.7873
7.1 80000 -3.96 0.5519 0.0242 0.1652 0.0108 0.0244 0.0625 0.0176 0.0157 0.0000 0.0092 0.0276 0.0000 0.0247
7.1 80000 -3.68 0.6174 0.0838 0.1351 0.0154 0.0229 0.0587 0.0165 0.0213 0.0000 0.0103 0.0272 0.0000 0.0481
7.1 80000 -3.36 0.5928 0.2506 0.1039 0.0212 0.0216 0.0553 0.0156 0.0270 0.0000 0.0116 0.0231 0.0000 0.0918
7.1 80000 -3.01 0.4746 0.5055 0.0773 0.0267 0.0207 0.0529 0.0148 0.0303 0.0000 0.0128 0.0171 0.0052 0.1608
7.1 80000 -2.56 0.3470 0.7863 0.0557 0.0305 0.0199 0.0510 0.0143 0.0324 0.0000 0.0133 0.0120 0.0279 0.2715
7.1 80000 -2.06 0.2642 0.9995 0.0425 0.0315 0.0193 0.0495 0.0138 0.0356 0.0017 0.0131 0.0089 0.1064 0.3976
7.1 80000 -1.52 0.2080 1.1524 0.0339 0.0306 0.0186 0.0478 0.0133 0.0411 0.0028 0.0125 0.0070 0.2711 0.5066
7.1 80000 -1.00 0.1683 1.2583 0.0283 0.0289 0.0179 0.0459 0.0128 0.0489 0.0038 0.0117 0.0056 0.4569 0.5768
7.1 80000 -0.63 0.1456 1.3107 0.0250 0.0273 0.0172 0.0443 0.0123 0.0563 0.0044 0.0110 0.0049 0.5885 0.6111
7.1 80000 -0.04 0.1164 1.3485 0.0210 0.0242 0.0160 0.0413 0.0114 0.0716 0.0054 0.0098 0.0040 0.8019 0.6382
7.1 80000 0.40 0.0993 1.3334 0.0184 0.0219 0.0150 0.0385 0.0107 0.0860 0.0059 0.0088 0.0034 0.9487 0.6311
7.1 90000 -3.96 0.5469 0.0283 0.1721 0.0109 0.0246 0.0628 0.0177 0.0272 0.0000 0.0094 0.0279 0.0000 0.0266
7.1 90000 -3.68 0.6028 0.0964 0.1400 0.0154 0.0226 0.0577 0.0163 0.0364 0.0000 0.0105 0.0272 0.0000 0.0508
7.1 90000 -3.36 0.5617 0.2767 0.1071 0.0211 0.0208 0.0532 0.0150 0.0459 0.0000 0.0117 0.0228 0.0014 0.0961
