#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 0.098 -2.31 0.0166 1.3265 0.0060 0.0439 0.0023 0.0059 0.0016 0.3546 0.0112 0.0101 0.0000 1.7187 1.1898
7.4 0.052 -2.23 0.0116 1.1103 0.0046 0.0403 0.0019 0.0047 0.0013 0.3610 0.0117 0.0090 0.0000 2.0404 1.1901
7.4 0.021 -2.15 0.0092 0.9688 0.0039 0.0378 0.0016 0.0042 0.0011 0.3677 0.0119 0.0084 0.0000 2.3177 1.1911
7.4 0.019 -2.12 0.0082 0.8970 0.0035 0.0357 0.0015 0.0039 0.0010 0.3611 0.0115 0.0078 0.0000 2.3223 1.1491
7.4 1.000 -2.56 0.3703 1.8019 0.0710 0.0509 0.0154 0.0394 0.0110 0.1024 0.0049 0.0165 0.0139 0.6122 0.7607
7.4 0.708 -2.48 0.1405 2.2192 0.0207 0.0542 0.0124 0.0317 0.0088 0.1443 0.0068 0.0157 0.0033 0.8592 0.9670
7.4 0.449 -2.37 0.0533 2.1727 0.0097 0.0477 0.0086 0.0219 0.0060 0.2251 0.0096 0.0123 0.0010 1.3020 1.1279
7.4 0.177 -2.14 0.0092 1.1237 0.0032 0.0330 0.0018 0.0045 0.0012 0.3647 0.0130 0.0066 0.0000 2.5019 1.1290
7.4 0.095 -2.01 0.0038 0.7310 0.0010 0.0261 0.0010 0.0026 0.0000 0.3793 0.0134 0.0045 0.0000 3.2750 1.0283
7.4 0.047 -1.86 0.0011 0.5195 0.0000 0.0209 0.0000 0.0018 0.0000 0.3865 0.0132 0.0032 0.0000 3.9526 0.9135
7.4 0.020 -1.73 0.0000 0.3915 0.0000 0.0169 0.0000 0.0014 0.0000 0.3905 0.0122 0.0022 0.0000 4.3208 0.7841
