#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 90000 -3.00 0.3790 0.6676 0.0633 0.0288 0.0188 0.0481 0.0135 0.0533 0.0000 0.0131 0.0136 0.0125 0.2073
7.1 90000 -2.75 0.2697 0.8978 0.0457 0.0312 0.0181 0.0464 0.0130 0.0558 0.0000 0.0133 0.0093 0.0393 0.3018
7.1 90000 -2.50 0.1878 1.1010 0.0327 0.0315 0.0174 0.0447 0.0125 0.0597 0.0020 0.0127 0.0063 0.1068 0.4134
7.1 90000 -2.25 0.1318 1.2700 0.0236 0.0297 0.0167 0.0429 0.0119 0.0665 0.0034 0.0116 0.0044 0.2480 0.5314
7.1 90000 -2.00 0.0954 1.3932 0.0175 0.0265 0.0158 0.0408 0.0113 0.0774 0.0051 0.0101 0.0032 0.4837 0.6358
7.1 90000 -1.75 0.0718 1.4546 0.0133 0.0227 0.0147 0.0379 0.0105 0.0938 0.0067 0.0085 0.0024 0.7896 0.7029
7.1 90000 -1.50 0.0563 1.4348 0.0107 0.0189 0.0133 0.0343 0.0095 0.1156 0.0079 0.0070 0.0019 1.0864 0.7088
7.1 100000 -4.00 0.5368 0.0277 0.1795 0.0107 0.0246 0.0627 0.0177 0.0405 0.0000 0.0095 0.0282 0.0000 0.0264
7.1 100000 -3.75 0.5929 0.0872 0.1472 0.0147 0.0222 0.0566 0.0160 0.0527 0.0000 0.0104 0.0277 0.0000 0.0481
7.1 100000 -3.50 0.5754 0.2272 0.1163 0.0195 0.0201 0.0513 0.0144 0.0652 0.0000 0.0114 0.0244 0.0010 0.0839
7.1 100000 -3.25 0.4763 0.4434 0.0883 0.0243 0.0185 0.0472 0.0133 0.0748 0.0000 0.0123 0.0188 0.0046 0.1376
7.1 100000 -3.00 0.3556 0.6745 0.0647 0.0281 0.0173 0.0443 0.0124 0.0803 0.0000 0.0129 0.0134 0.0176 0.2120
7.1 100000 -2.75 0.2527 0.8792 0.0462 0.0299 0.0165 0.0422 0.0118 0.0843 0.0012 0.0127 0.0092 0.0555 0.3051
7.1 100000 -2.50 0.1762 1.0417 0.0329 0.0295 0.0157 0.0402 0.0112 0.0898 0.0024 0.0118 0.0063 0.1472 0.4085
7.1 100000 -2.25 0.1240 1.1564 0.0236 0.0272 0.0148 0.0380 0.0106 0.0990 0.0038 0.0105 0.0043 0.3238 0.5058
7.1 100000 -2.00 0.0898 1.2139 0.0173 0.0238 0.0137 0.0353 0.0098 0.1134 0.0053 0.0090 0.0031 0.5839 0.5739
7.1 100000 -1.75 0.0675 1.2007 0.0131 0.0199 0.0123 0.0317 0.0088 0.1337 0.0065 0.0074 0.0024 0.8667 0.5922
7.1 100000 -1.50 0.0528 1.1073 0.0104 0.0163 0.0107 0.0275 0.0076 0.1589 0.0071 0.0060 0.0019 1.0766 0.5499
7.4 30000 -4.00 0.7899 0.0000 0.2866 0.0056 0.0109 0.0278 0.0079 0.0000 0.0000 0.0041 0.0420 0.0000 0.0031
7.4 30000 -3.75 0.9418 0.0012 0.2806 0.0092 0.0123 0.0315 0.0089 0.0000 0.0000 0.0053 0.0461 0.0000 0.0067
7.4 30000 -3.50 1.1173 0.0037 0.2675 0.0147 0.0134 0.0343 0.0097 0.0000 0.0000 0.0067 0.0504 0.0000 0.0141
