12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
7.0000 5.8300 -2.2500 0.1184 0.0710 0.0309 1.1092 0.0000 0.0130 0.0037 0.0469 0.0016 0.0684
7.0000 5.6300 -2.2500 0.1186 0.0713 0.0311 1.1123 0.0000 0.0082 0.0037 0.0296 0.0016 0.0432
7.0000 5.4300 -2.2500 0.1187 0.0714 0.0312 1.1143 0.0000 0.0052 0.0037 0.0187 0.0016 0.0273
7.0000 5.2300 -2.2500 0.1189 0.0715 0.0313 1.1156 0.0000 0.0033 0.0037 0.0118 0.0016 0.0172
7.0000 5.0300 -2.2500 0.1189 0.0716 0.0314 1.1164 0.0000 0.0021 0.0037 0.0074 0.0016 0.0109
7.0000 4.8300 -2.2500 0.1189 0.0716 0.0314 1.1169 0.0000 0.0013 0.0037 0.0047 0.0016 0.0069
7.0000 6.0300 -2.0000 0.0850 0.0832 0.0403 1.2988 0.0000 0.0205 0.0026 0.0551 0.0012 0.1005
7.0000 5.8300 -2.0000 0.0852 0.0836 0.0407 1.3047 0.0000 0.0130 0.0026 0.0348 0.0012 0.0636
7.0000 5.6300 -2.0000 0.0853 0.0839 0.0410 1.3083 0.0000 0.0082 0.0026 0.0220 0.0012 0.0402
7.0000 5.4300 -2.0000 0.0854 0.0841 0.0411 1.3104 0.0000 0.0052 0.0026 0.0139 0.0012 0.0254
7.0000 5.2300 -2.0000 0.0854 0.0842 0.0412 1.3118 0.0000 0.0033 0.0026 0.0088 0.0012 0.0160
7.0000 5.0300 -2.0000 0.0855 0.0842 0.0413 1.3127 0.0000 0.0021 0.0026 0.0056 0.0012 0.0101
7.0000 4.8300 -2.0000 0.0855 0.0843 0.0413 1.3133 0.0000 0.0013 0.0026 0.0035 0.0012 0.0064
7.0000 6.0300 -1.7500 0.0636 0.0962 0.0513 1.4881 0.0000 0.0193 0.0020 0.0425 0.0000 0.0887
7.0000 5.8300 -1.7500 0.0638 0.0967 0.0518 1.4942 0.0000 0.0123 0.0020 0.0268 0.0000 0.0561
7.0000 5.6300 -1.7500 0.0639 0.0970 0.0520 1.4981 0.0000 0.0078 0.0020 0.0170 0.0000 0.0355
7.0000 5.4300 -1.7500 0.0639 0.0972 0.0522 1.5006 0.0000 0.0049 0.0020 0.0107 0.0000 0.0224
7.0000 5.2300 -1.7500 0.0640 0.0973 0.0524 1.5022 0.0000 0.0031 0.0020 0.0068 0.0000 0.0141
7.0000 5.0300 -1.7500 0.0641 0.0974 0.0524 1.5031 0.0000 0.0020 0.0020 0.0042 0.0000 0.0089
7.0000 4.8300 -1.7500 0.0641 0.0974 0.0525 1.5037 0.0000 0.0012 0.0020 0.0027 0.0000 0.0056
7.0000 6.0300 -1.5000 0.0496 0.1094 0.0632 1.6708 0.0000 0.0173 0.0016 0.0340 0.0000 0.0756
7.0000 5.8300 -1.5000 0.0498 0.1099 0.0638 1.6774 0.0000 0.0110 0.0016 0.0215 0.0000 0.0478
7.0000 5.6300 -1.5000 0.0499 0.1102 0.0641 1.6814 0.0000 0.0070 0.0016 0.0135 0.0000 0.0302
7.0000 5.4300 -1.5000 0.0499 0.1104 0.0643 1.6840 0.0000 0.0044 0.0016 0.0086 0.0000 0.0191
7.0000 5.2300 -1.5000 0.0499 0.1106 0.0645 1.6858 0.0000 0.0028 0.0016 0.0054 0.0000 0.0121
7.0000 5.0300 -1.5000 0.0499 0.1106 0.0646 1.6868 0.0000 0.0018 0.0016 0.0034 0.0000 0.0076
7.0000 4.8300 -1.5000 0.0499 0.1107 0.0646 1.6874 0.0000 0.0011 0.0016 0.0012 0.0000 0.0048
7.1000 6.1300 -4.0000 0.5337 0.0130 0.0000 0.0181 0.0000 0.0037 0.0267 0.6308 0.0117 0.0394
7.1000 5.9300 -4.0000 0.5366 0.0131 0.0000 0.0182 0.0000 0.0024 0.0268 0.3989 0.0117 0.0249
7.1000 5.7300 -4.0000 0.5384 0.0131 0.0000 0.0183 0.0000 0.0015 0.0268 0.2520 0.0117 0.0157
7.1000 5.5300 -4.0000 0.5395 0.0131 0.0000 0.0183 0.0000 0.0000 0.0269 0.1592 0.0118 0.0099
7.1000 5.3300 -4.0000 0.5402 0.0131 0.0000 0.0183 0.0000 0.0000 0.0269 0.1005 0.0119 0.0063
7.1000 5.1300 -4.0000 0.5406 0.0131 0.0000 0.0183 0.0000 0.0000 0.0269 0.0634 0.0119 0.0040
7.1000 4.9300 -4.0000 0.5410 0.0132 0.0000 0.0184 0.0000 0.0000 0.0269 0.0400 0.0120 0.0025
7.1000 6.1300 -3.7500 0.6065 0.0192 0.0000 0.0568 0.0000 0.0059 0.0270 0.5301 0.0144 0.0561
7.1000 5.9300 -3.7500 0.6100 0.0193 0.0000 0.0571 0.0000 0.0037 0.0271 0.3351 0.0145 0.0355
7.1000 5.7300 -3.7500 0.6121 0.0194 0.0000 0.0573 0.0000 0.0024 0.0272 0.2117 0.0145 0.0224
7.1000 5.5300 -3.7500 0.6136 0.0195 0.0000 0.0574 0.0000 0.0015 0.0272 0.1337 0.0146 0.0142
7.1000 5.3300 -3.7500 0.6143 0.0195 0.0000 0.0575 0.0000 0.0000 0.0272 0.0844 0.0146 0.0090
7.1000 5.1300 -3.7500 0.6148 0.0195 0.0000 0.0576 0.0000 0.0000 0.0272 0.0532 0.0146 0.0057
7.1000 4.9300 -3.7500 0.6152 0.0195 0.0000 0.0576 0.0000 0.0000 0.0272 0.0336 0.0146 0.0036
7.1000 6.1300 -3.5000 0.6295 0.0273 0.0023 0.1577 0.0000 0.0088 0.0249 0.4262 0.0160 0.0761
7.1000 5.9300 -3.5000 0.6330 0.0275 0.0023 0.1586 0.0000 0.0056 0.0250 0.2694 0.0163 0.0482
7.1000 5.7300 -3.5000 0.6352 0.0276 0.0023 0.1592 0.0000 0.0036 0.0250 0.1702 0.0164 0.0305
7.1000 5.5300 -3.5000 0.6366 0.0277 0.0023 0.1596 0.0000 0.0023 0.0250 0.1075 0.0164 0.0192
7.1000 5.3300 -3.5000 0.6375 0.0277 0.0023 0.1599 0.0000 0.0014 0.0251 0.0678 0.0164 0.0122
7.1000 5.1300 -3.5000 0.6380 0.0277 0.0023 0.1600 0.0000 0.0000 0.0251 0.0428 0.0164 0.0077
7.1000 4.9300 -3.5000 0.6383 0.0278 0.0023 0.1601 0.0000 0.0000 0.0251 0.0271 0.0164 0.0048
7.1000 6.1300 -3.2500 0.5641 0.0370 0.0057 0.3476 0.0000 0.0125 0.0201 0.3284 0.0154 0.0971
7.1000 5.9300 -3.2500 0.5670 0.0372 0.0058 0.3498 0.0000 0.0079 0.0201 0.2076 0.0156 0.0615
