#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.7 45000 -3.01 2.0120 1.5553 0.1747 0.1142 0.0220 0.0564 0.0000
7.7 50000 -3.01 1.6691 2.0219 0.1810 0.1165 0.0221 0.0566 0.0000
7.7 55000 -3.01 1.6804 2.2212 0.1772 0.1214 0.0223 0.0571 0.0000
7.7 60000 -3.01 1.3992 2.5544 0.2068 0.1166 0.0218 0.0558 0.0016
7.7 30000 -2.77 1.1453 0.0012 0.1914 0.0309 0.0015 0.0038 0.0000
7.7 32500 -2.78 2.0806 0.0231 0.2363 0.0597 0.0050 0.0129 0.0000
7.7 35000 -2.78 2.7048 0.2486 0.2183 0.0879 0.0132 0.0340 0.0000
7.7 37500 -2.78 2.3947 0.8503 0.1691 0.1037 0.0205 0.0525 0.0000
7.7 40000 -2.77 1.7278 1.9272 0.1340 0.1202 0.0216 0.0554 0.0000
7.7 45000 -2.76 1.5754 2.4161 0.1264 0.1281 0.0219 0.0562 0.0000
7.7 50000 -2.76 1.2584 2.9046 0.1328 0.1278 0.0219 0.0562 0.0000
7.7 55000 -2.76 1.2732 3.1449 0.1321 0.1321 0.0220 0.0566 0.0000
7.7 60000 -2.77 1.0560 3.4275 0.1562 0.1241 0.0215 0.0551 0.0018
7.7 30000 -2.52 1.1256 0.0040 0.1419 0.0368 0.0018 0.0046 0.0000
7.7 32500 -2.53 2.1314 0.0638 0.1761 0.0699 0.0058 0.0150 0.0000
7.7 35000 -2.53 2.6798 0.5149 0.1618 0.1013 0.0147 0.0378 0.0000
7.7 37500 -2.53 2.1256 1.3748 0.1227 0.1162 0.0209 0.0536 0.0000
7.7 40000 -2.52 1.3899 2.6095 0.0999 0.1298 0.0216 0.0554 0.0000
7.7 45000 -2.52 1.2586 3.1373 0.0975 0.1355 0.0218 0.0560 0.0000
7.7 50000 -2.52 0.9907 3.6176 0.1045 0.1312 0.0218 0.0558 0.0011
7.7 55000 -2.52 1.0043 3.9115 0.1052 0.1349 0.0219 0.0562 0.0000
7.7 60000 -2.52 0.8277 4.1805 0.1241 0.1235 0.0213 0.0545 0.0022
7.7 30000 -2.27 1.0966 0.0117 0.1045 0.0405 0.0022 0.0059 0.0000
7.7 32500 -2.28 2.1279 0.1357 0.1316 0.0771 0.0069 0.0179 0.0000
7.7 35000 -2.28 2.5534 0.8327 0.1207 0.1113 0.0165 0.0423 0.0000
7.7 37500 -2.28 1.8479 1.8724 0.0918 0.1248 0.0211 0.0541 0.0000
7.7 40000 -2.27 1.1360 3.1972 0.0788 0.1347 0.0215 0.0552 0.0000
7.7 45000 -2.27 1.0219 3.7701 0.0790 0.1381 0.0217 0.0557 0.0000
