#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
7.20 -2.000 -1.75 0.0568 0.0167 0.1101 0.0061 0.0000 0.0421 0.0259 0.0344 0.1571 0.0020 0.1876 0.0000 0.0000
7.20 0.000 -2.00 0.0595 0.0176 0.0840 0.0065 0.0012 0.0400 0.0287 0.0391 0.1431 0.2142 0.1733 0.0045 0.0014
7.20 -0.125 -2.00 0.0591 0.0175 0.0839 0.0064 0.0012 0.0402 0.0289 0.0393 0.1441 0.1610 0.1743 0.0034 0.0011
7.20 -0.500 -2.00 0.0585 0.0173 0.0837 0.0064 0.0012 0.0405 0.0294 0.0397 0.1462 0.0681 0.1764 0.0014 0.0000
7.20 -0.625 -2.00 0.0583 0.0172 0.0836 0.0063 0.0012 0.0406 0.0295 0.0398 0.1466 0.0511 0.1768 0.0011 0.0000
7.20 -0.750 -2.00 0.0582 0.0172 0.0835 0.0063 0.0012 0.0406 0.0296 0.0399 0.1469 0.0383 0.1771 0.0016 0.0000
7.20 -0.875 -2.00 0.0581 0.0171 0.0835 0.0063 0.0012 0.0407 0.0296 0.0399 0.1471 0.0288 0.1773 0.0012 0.0000
7.20 -1.000 -2.00 0.0580 0.0171 0.0834 0.0063 0.0012 0.0407 0.0297 0.0400 0.1473 0.0216 0.1774 0.0000 0.0000
7.20 -1.125 -2.00 0.0580 0.0171 0.0834 0.0063 0.0012 0.0407 0.0297 0.0400 0.1474 0.0162 0.1776 0.0000 0.0000
7.20 -1.250 -2.00 0.0579 0.0171 0.0833 0.0063 0.0012 0.0407 0.0297 0.0400 0.1475 0.0121 0.1777 0.0000 0.0000
7.20 -1.375 -2.00 0.0579 0.0170 0.0833 0.0063 0.0012 0.0407 0.0298 0.0400 0.1476 0.0091 0.1777 0.0000 0.0000
7.20 -1.500 -2.00 0.0579 0.0170 0.0833 0.0063 0.0012 0.0407 0.0298 0.0400 0.1476 0.0068 0.1778 0.0000 0.0000
7.20 -1.750 -2.00 0.0578 0.0170 0.0832 0.0063 0.0012 0.0408 0.0298 0.0400 0.1477 0.0038 0.1779 0.0000 0.0000
7.20 -1.875 -2.00 0.0578 0.0170 0.0832 0.0063 0.0012 0.0408 0.0298 0.0400 0.1477 0.0029 0.1779 0.0000 0.0000
7.20 -2.000 -2.00 0.0578 0.0170 0.0832 0.0063 0.0012 0.0408 0.0298 0.0401 0.1478 0.0022 0.1779 0.0000 0.0000
7.20 0.000 -2.25 0.0600 0.0178 0.0564 0.0066 0.0010 0.0387 0.0321 0.0441 0.1335 0.2223 0.1626 0.0064 0.0020
7.20 -0.125 -2.25 0.0598 0.0177 0.0564 0.0065 0.0010 0.0389 0.0323 0.0443 0.1343 0.1671 0.1633 0.0048 0.0015
7.20 -0.250 -2.25 0.0596 0.0176 0.0565 0.0065 0.0010 0.0390 0.0324 0.0444 0.1348 0.1255 0.1639 0.0036 0.0012
7.20 -0.375 -2.25 0.0594 0.0176 0.0564 0.0065 0.0016 0.0391 0.0325 0.0445 0.1353 0.0942 0.1643 0.0027 0.0014
7.20 -0.500 -2.25 0.0593 0.0175 0.0564 0.0065 0.0016 0.0391 0.0326 0.0445 0.1356 0.0707 0.1647 0.0020 0.0011
7.20 -0.875 -2.25 0.0590 0.0174 0.0564 0.0064 0.0016 0.0392 0.0328 0.0446 0.1362 0.0299 0.1653 0.0014 0.0000
7.20 -1.000 -2.25 0.0590 0.0174 0.0564 0.0064 0.0016 0.0392 0.0328 0.0447 0.1363 0.0224 0.1654 0.0011 0.0000
7.20 -1.125 -2.25 0.0589 0.0174 0.0564 0.0064 0.0016 0.0392 0.0328 0.0447 0.1364 0.0168 0.1654 0.0000 0.0000
